nrounds,max_depth,eta,gamma,colsample_bytree,min_child_weight,subsample,test_nloglik
100,4,0.05,0,0.5,1,0.5,0.4512401176907071
10,5,0.05,0,0.5,1,0.5,0.5700874280860029
20,5,0.05,0,0.5,1,0.5,0.5324499724436133
30,5,0.05,0,0.5,1,0.5,0.5057937238426823
40,5,0.05,0,0.5,1,0.5,0.48703001364744347
50,5,0.05,0,0.5,1,0.5,0.4740411545717562
60,5,0.05,0,0.5,1,0.5,0.4653183543006388
70,5,0.05,0,0.5,1,0.5,0.4593511548757765
80,5,0.05,0,0.5,1,0.5,0.4552512377534546
90,5,0.05,0,0.5,1,0.5,0.4525658117309156
100,5,0.05,0,0.5,1,0.5,0.4509177891174277
10,6,0.05,0,0.5,1,0.5,0.5700387754130115
20,6,0.05,0,0.5,1,0.5,0.5325057417585134
30,6,0.05,0,0.5,1,0.5,0.5057548137370808
40,6,0.05,0,0.5,1,0.5,0.4869616657812947
50,6,0.05,0,0.5,1,0.5,0.4740983999587242
60,6,0.05,0,0.5,1,0.5,0.4650600640567583
70,6,0.05,0,0.5,1,0.5,0.45912903527937776
80,6,0.05,0,0.5,1,0.5,0.455207217610747
90,6,0.05,0,0.5,1,0.5,0.45269697177819784
100,6,0.05,0,0.5,1,0.5,0.4508796764563674
10,7,0.05,0,0.5,1,0.5,0.5700594126739812
20,7,0.05,0,0.5,1,0.5,0.532292050126238
30,7,0.05,0,0.5,1,0.5,0.5056689632912441
40,7,0.05,0,0.5,1,0.5,0.4868850299542911
50,7,0.05,0,0.5,1,0.5,0.47379225168756023
60,7,0.05,0,0.5,1,0.5,0.46496978935299266
70,7,0.05,0,0.5,1,0.5,0.4590180206765174
80,7,0.05,0,0.5,1,0.5,0.4550215937172644
90,7,0.05,0,0.5,1,0.5,0.4523502824343826
100,7,0.05,0,0.5,1,0.5,0.45072410015694964
10,8,0.05,0,0.5,1,0.5,0.570064047832281
20,8,0.05,0,0.5,1,0.5,0.5324391967673426
30,8,0.05,0,0.5,1,0.5,0.5057181702148724
40,8,0.05,0,0.5,1,0.5,0.4869783299142505
50,8,0.05,0,0.5,1,0.5,0.4736362133410386
60,8,0.05,0,0.5,1,0.5,0.4649464329078722
70,8,0.05,0,0.5,1,0.5,0.4588929966730785
80,8,0.05,0,0.5,1,0.5,0.4548185163430989
90,8,0.05,0,0.5,1,0.5,0.45258643486847167
100,8,0.05,0,0.5,1,0.5,0.45066954542821563
10,1,0.1,0,0.5,1,0.5,0.5333054540878681
20,1,0.1,0,0.5,1,0.5,0.488745100089145
30,1,0.1,0,0.5,1,0.5,0.46773459087115327
40,1,0.1,0,0.5,1,0.5,0.45817590749055154
50,1,0.1,0,0.5,1,0.5,0.45386504160210533
60,1,0.1,0,0.5,1,0.5,0.4518069671592131
70,1,0.1,0,0.5,1,0.5,0.4506982750531202
80,1,0.1,0,0.5,1,0.5,0.4501582015484322
90,1,0.1,0,0.5,1,0.5,0.4498041239402
100,1,0.1,0,0.5,1,0.5,0.44942112722933186
10,2,0.1,0,0.5,1,0.5,0.5328999346414557
20,2,0.1,0,0.5,1,0.5,0.4878716950273865
